,Date,Team,Opp1,Lg,Att,Cmp,Pct,Pass_Yds,YPA,Pass_TD,TD%T%,Int,Int%I%,Lg,FD,20+,Sack,Loss,Rate,Res,Date,Team,Opp2,Lg,Att,Rush_Yds,Avg,Lg,Rush_TD,FD,10+,Res,Date,Team,Opp3,Lg,Rec,Rec_Yds,Avg,Lg,Rec_TD,FD,20+,Tar,YAC,Res
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/19/22,BUF,vs TEN,NFL,11,53,4.82,33,0,3,1,"W, 41-7",09/19/22,BUF,vs TEN,NFL,0,0,0.00,0,0,0,0,1,0,"W, 41-7"
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/25/22,BUF,@ MIA,NFL,1,3,3.00,3,0,1,0,"L, 21-19",09/25/22,BUF,@ MIA,NFL,4,37,9.25,11,0,0,0,5,26,"L, 21-19"
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/02/22,BUF,@ BAL,NFL,0,0,0.00,0,0,0,0,"W, 23-20",10/02/22,BUF,@ BAL,NFL,0,0,0.00,0,0,0,0,1,0,"W, 23-20"
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/09/22,BUF,vs PIT,NFL,4,31,7.75,24t,1,1,1,"W, 38-3",10/09/22,BUF,vs PIT,NFL,0,0,0.00,0,0,0,0,0,0,"W, 38-3"
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/22,BUF,@ KC,NFL,2,8,4.00,4,0,0,0,"W, 24-20",10/16/22,BUF,@ KC,NFL,0,0,0.00,0,0,0,0,0,0,"W, 24-20"
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/30/22,BUF,vs GB,NFL,5,35,7.00,17,0,2,1,"W, 27-17",10/30/22,BUF,vs GB,NFL,1,41,41.00,41,0,1,1,1,24,"W, 27-17"
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/06/22,BUF,@ NYJ,NFL,4,15,3.75,6,0,1,0,"L, 20-17",11/06/22,BUF,@ NYJ,NFL,2,18,9.00,10,0,1,0,4,15,"L, 20-17"
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/13/22,BUF,vs MIN,NFL,5,22,4.40,8,0,0,0,"L, 33-30",11/13/22,BUF,vs MIN,NFL,0,0,0.00,0,0,0,0,0,0,"L, 33-30"
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/20/22,BUF,vs CLE,NFL,11,86,7.82,29,0,4,3,"W, 31-23",11/20/22,BUF,vs CLE,NFL,0,0,0.00,0,0,0,0,1,0,"W, 31-23"
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/24/22,BUF,@ DET,NFL,2,4,2.00,5,0,0,0,"W, 28-25",11/24/22,BUF,@ DET,NFL,2,14,7.00,8,0,1,0,5,6,"W, 28-25"
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/01/22,BUF,@ NE,NFL,14,64,4.57,28,0,2,1,"W, 24-10",12/01/22,BUF,@ NE,NFL,6,41,6.83,14,0,1,0,6,38,"W, 24-10"
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/11/22,BUF,vs NYJ,NFL,4,6,1.50,4,0,0,0,"W, 20-12",12/11/22,BUF,vs NYJ,NFL,1,9,9.00,9,0,0,0,1,8,"W, 20-12"
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/17/22,BUF,vs MIA,NFL,5,34,6.80,16,0,3,1,"W, 32-29",12/17/22,BUF,vs MIA,NFL,2,5,2.50,4t,1,1,0,3,0,"W, 32-29"
